Keyword,Website URL,Page Number,Time,Date
shopping,https://www.ajio.com,1,11:18,2024-04-22
shopping,https://www.flipkart.com,1,11:18,2024-04-22
offer,https://www.flipkart.com,1,11:29,2024-04-22
watches,https://www.ajio.com,1,11:33,2024-04-22
watches,https://www.flipkart.com,1,11:33,2024-04-22
watches,https://www.amazon.in,1,11:33,2024-04-22
watches,https://www.ajio.com,1,11:33,2024-04-22
watches,https://www.flipkart.com,1,11:33,2024-04-22
conditioner,https://www.ajio.com,1,11:37,2024-04-22
conditioner,https://www.ajio.com,1,11:37,2024-04-22
conditioner,https://www.ajio.com,1,11:37,2024-04-22
offer,https://www.flipkart.com,1,12:07,2024-04-22
offer,https://www.flipkart.com,1,12:07,2024-04-22
offer,https://www.flipkart.com,1,12:07,2024-04-22
stock,https://www.ajio.com,1,14:38,2024-04-22
shopping,https://www.ajio.com,1,15:28,2024-04-22
shopping,https://www.flipkart.com,1,15:29,2024-04-22
